URL,Size (bytes),Outgoing Links,Content Type
https://www.nytimes.com/2020/06/11/health/coronavirus-cytokine-storm.html,437457,72,text/html
https://www.nytimes.com/2020/05/01/health/coronavirus-remdesivir.html,422388,53,text/html
https://www.nytimes.com/interactive/2020/05/08/health/coronavirus-covid-lungs-ventilators.html,298910,48,text/html
https://www.nytimes.com/by/carl-zimmer,379568,57,text/html
https://www.nytimes.com/2020/12/13/health/Covid-remdesivir-arthritis-drug.html,311085,52,text/html
https://www.nytimes.com/2020/08/19/us/politics/blood-plasma-covid-19.html?smid=tw-share,437405,61,text/html
https://www.nytimes.com/2020/08/10/health/stephen-hahn-fda.html,530596,94,text/html
https://www.nytimes.com/2021/01/30/health/covid-drugs-antivirals.html?action=click&module=Spotlight&pgtype=Homepage,486498,80,text/html
https://www.nytimes.com/2020/08/20/health/covid-oleandrin-trump-mypillow.html,409508,68,text/html
https://www.nytimes.com/2020/04/24/health/sunlight-coronavirus-trump.html,429323,52,text/html
https://www.nytimes.com/2021/09/14/arts/television/on-the-verge-julie-delpy.html,433486,39,text/html
https://www.nytimes.com/2020/08/04/health/coronavirus-immune-system.html,349963,56,text/html
https://www.nytimes.com/2020/05/01/health/coronavirus-remdesivir.html?searchResultPosition=2,421778,54,text/html
https://www.nytimes.com/2021/09/15/theater/jean-claude-van-itallie-dead.html,340231,50,text/html
https://www.nytimes.com/spotlight/pop-culture,595250,80,text/html
https://www.nytimes.com/ca/section/theater,677338,98,text/html
https://www.nytimes.com/2021/09/14/arts/television/trevor-noah-rudy-giuliani-9-11.html,393547,49,text/html
https://www.nytimes.com/ca/section/arts/television,667319,101,text/html
https://www.nytimes.com/ca/section/opinion/health,349967,57,text/html
https://www.nytimes.com/ca/section/opinion/sunday,313961,57,text/html
https://www.nytimes.com/ca/section/opinion/international-world,323438,61,text/html
https://www.nytimes.com/ca/section/opinion/culture,344920,57,text/html
https://www.nytimes.com/column/fixes,315577,56,text/html
https://www.nytimes.com/ca/section/opinion/environment,346477,57,text/html
https://www.nytimes.com/column/frank-bruni,311764,60,text/html
https://www.nytimes.com/ca/section/opinion/politics,574942,58,text/html
https://www.nytimes.com/column/nicholas-kristof,332529,65,text/html
https://www.nytimes.com/column/david-brooks,309471,58,text/html
https://www.nytimes.com/pt/2021/09/15/opinion/bolsonaro-brazil.html,315078,70,text/html
https://www.nytimes.com/ca/section/opinion/gender-and-society,359955,60,text/html
https://www.nytimes.com/column/thomas-l-friedman,323080,63,text/html
https://www.nytimes.com/column/bret-stephens,328263,60,text/html
https://www.nytimes.com/ca/section/opinion/business-economics,463192,59,text/html
https://www.nytimes.com/es/interactive/2021/health/moderna-vacuna-covid.html,360886,58,text/html
https://www.nytimes.com/es/interactive/2021/health/sinovac-vacuna-covid.html,279809,52,text/html
https://www.nytimes.com/es/interactive/2021/health/pfizer-biontech-vacuna-covid.html,376917,58,text/html
https://www.nytimes.com/es/interactive/2021/health/johnson-johnson-vacuna-covid.html,393728,57,text/html
https://www.nytimes.com/es/interactive/2021/health/oxford-astrazeneca-vacuna-covid.html,393446,58,text/html
https://www.nytimes.com/es/interactive/2021/health/sputnik-vacuna-covid.html,398495,59,text/html
https://www.nytimes.com/es/interactive/2021/health/sinopharm-vacuna-covid.html,277861,52,text/html
https://www.nytimes.com/interactive/2021/us/blaine-nebraska-covid-cases.html,1048576,175,text/html
https://www.nytimes.com/interactive/2021/us/arthur-nebraska-covid-cases.html,1048576,175,text/html
